Difficulty,Incorrect,Correct,Ratio
1,"['7-3.png', '7-3.png', '6-3.png', '6-3.png', '6-5.png', '6-7.png', '6-6.png', '6-1.png', '6-9.png', '6-5.png']","['40-7.png', '39-3.png', '36-4.png', '34-10.png', '33-2.png', '40-6.png', '37-7.png', '35-4.png', '38-6.png', '39-4.png']","[5.714285714285714, 5.571428571428571, 6.0, 5.666666666666667, 5.5, 6.666666666666667, 6.166666666666667, 5.833333333333333, 6.333333333333333, 6.5]"
2,"['6-2.png', '7-4.png', '7-5.png', '8-7.png', '7-8.png', '8-8.png', '8-1.png', '6-4.png', '8-5.png', '6-6.png', '7-5.png', '6-2.png', '6-5.png', '7-4.png', '7-6.png']","['29-5.png', '34-1.png', '36-7.png', '39-5.png', '37-8.png', '40-5.png', '38-6.png', '32-7.png', '37-5.png', '30-10.png', '33-10.png', '28-2.png', '31-8.png', '35-5.png', '38-5.png']","[4.833333333333333, 4.857142857142857, 5.142857142857143, 4.875, 5.285714285714286, 5.0, 4.75, 5.333333333333333, 4.625, 5.0, 4.714285714285714, 4.666666666666667, 5.166666666666667, 5.0, 5.428571428571429]"
3,"['8-6.png', '9-1.png', '8-5.png', '7-1.png', '7-5.png', '6-10.png', '8-6.png', '6-5.png', '9-4.png', '9-10.png', '6-7.png', '9-6.png', '7-8.png', '8-1.png', '7-6.png']","['34-4.png', '37-10.png', '36-3.png', '32-9.png', '30-6.png', '26-10.png', '33-1.png', '27-4.png', '40-6.png', '38-3.png', '25-2.png', '39-9.png', '29-5.png', '35-3.png', '31-5.png']","[4.25, 4.111111111111111, 4.5, 4.571428571428571, 4.285714285714286, 4.333333333333333, 4.125, 4.5, 4.444444444444445, 4.222222222222222, 4.166666666666667, 4.333333333333333, 4.142857142857143, 4.375, 4.428571428571429]"
4,"['9-10.png', '6-1.png', '10-8.png', '10-8.png', '6-8.png', '7-9.png', '8-7.png', '8-9.png', '8-3.png', '9-8.png', '10-1.png', '9-5.png', '7-8.png', '7-7.png', '10-6.png']","['36-2.png', '24-10.png', '39-1.png', '40-7.png', '23-1.png', '27-6.png', '31-6.png', '32-8.png', '30-6.png', '35-6.png', '38-6.png', '34-9.png', '28-9.png', '26-9.png', '37-8.png']","[4.0, 4.0, 3.9, 4.0, 3.8333333333333335, 3.857142857142857, 3.875, 4.0, 3.75, 3.888888888888889, 3.8, 3.7777777777777777, 4.0, 3.7142857142857144, 3.7]"
5,"['7-7.png', '6-3.png', '10-5.png', '9-5.png', '11-5.png', '10-10.png', '9-5.png', '10-2.png', '11-7.png', '7-9.png', '6-7.png', '11-8.png', '8-8.png', '9-2.png', '8-7.png']","['24-10.png', '22-10.png', '36-3.png', '31-2.png', '38-5.png', '34-2.png', '33-1.png', '35-3.png', '40-2.png', '25-9.png', '21-8.png', '39-9.png', '28-5.png', '32-8.png', '29-5.png']","[3.4285714285714284, 3.6666666666666665, 3.6, 3.4444444444444446, 3.4545454545454546, 3.4, 3.6666666666666665, 3.5, 3.6363636363636362, 3.5714285714285716, 3.5, 3.5454545454545454, 3.5, 3.5555555555555554, 3.625]"
6,"['11-9.png', '7-7.png', '10-2.png', '12-8.png', '6-6.png', '9-9.png', '11-6.png', '11-1.png', '12-7.png', '6-3.png', '8-3.png', '9-7.png', '12-9.png', '8-9.png', '10-4.png']","['35-7.png', '23-3.png', '33-7.png', '39-4.png', '20-5.png', '29-7.png', '37-10.png', '36-5.png', '40-2.png', '19-10.png', '26-7.png', '30-5.png', '38-10.png', '27-4.png', '32-9.png']","[3.1818181818181817, 3.2857142857142856, 3.3, 3.25, 3.3333333333333335, 3.2222222222222223, 3.3636363636363638, 3.272727272727273, 3.3333333333333335, 3.1666666666666665, 3.25, 3.3333333333333335, 3.1666666666666665, 3.375, 3.2]"
7,"['12-6.png', '11-8.png', '10-1.png', '13-3.png', '12-1.png', '13-2.png', '6-6.png', '7-10.png', '8-10.png', '9-9.png', '8-2.png', '7-2.png', '9-10.png', '10-5.png', '11-5.png']","['36-5.png', '33-9.png', '31-6.png', '40-4.png', '37-2.png', '39-3.png', '18-3.png', '22-5.png', '25-5.png', '28-7.png', '24-4.png', '21-10.png', '27-2.png', '30-1.png', '34-6.png']","[3.0, 3.0, 3.1, 3.076923076923077, 3.0833333333333335, 3.0, 3.0, 3.142857142857143, 3.125, 3.111111111111111, 3.0, 3.0, 3.0, 3.0, 3.090909090909091]"
8,"['11-1.png', '13-4.png', '6-3.png', '12-9.png', '11-1.png', '7-3.png', '14-6.png', '9-1.png', '10-1.png', '10-10.png', '13-6.png', '9-2.png', '14-3.png', '8-10.png', '12-10.png']","['32-7.png', '37-9.png', '17-10.png', '35-10.png', '31-5.png', '20-3.png', '40-9.png', '26-5.png', '29-6.png', '28-2.png', '38-2.png', '25-3.png', '39-9.png', '23-9.png', '34-1.png']","[2.909090909090909, 2.8461538461538463, 2.8333333333333335, 2.9166666666666665, 2.8181818181818183, 2.857142857142857, 2.857142857142857, 2.888888888888889, 2.9, 2.8, 2.923076923076923, 2.7777777777777777, 2.7857142857142856, 2.875, 2.8333333333333335]"
9,"['15-8.png', '8-4.png', '11-8.png', '12-1.png', '9-4.png', '6-1.png', '11-9.png', '12-4.png', '7-3.png', '10-8.png', '14-9.png', '8-7.png', '13-4.png', '14-9.png', '13-7.png']","['40-2.png', '22-7.png', '30-6.png', '33-4.png', '24-2.png', '16-9.png', '29-6.png', '32-6.png', '19-10.png', '27-5.png', '37-5.png', '21-6.png', '36-7.png', '38-2.png', '35-7.png']","[2.6666666666666665, 2.75, 2.727272727272727, 2.75, 2.6666666666666665, 2.6666666666666665, 2.6363636363636362, 2.6666666666666665, 2.7142857142857144, 2.7, 2.642857142857143, 2.625, 2.769230769230769, 2.7142857142857144, 2.6923076923076925]"
10,"['14-10.png', '12-5.png', '10-2.png', '7-3.png', '10-8.png', '15-3.png', '12-3.png', '8-3.png', '15-8.png', '11-3.png', '9-5.png', '16-2.png', '14-2.png', '13-9.png', '13-8.png']","['36-1.png', '30-4.png', '25-7.png', '18-7.png', '26-1.png', '39-6.png', '31-4.png', '20-1.png', '38-3.png', '28-6.png', '23-1.png', '40-2.png', '35-6.png', '33-6.png', '34-3.png']","[2.5714285714285716, 2.5, 2.5, 2.5714285714285716, 2.6, 2.6, 2.5833333333333335, 2.5, 2.533333333333333, 2.5454545454545454, 2.5555555555555554, 2.5, 2.5, 2.5384615384615383, 2.6153846153846154]"
11,"['6-5.png', '14-9.png', '9-3.png', '16-6.png', '15-9.png', '8-9.png', '11-1.png', '7-3.png', '11-5.png', '10-2.png', '12-10.png', '15-10.png', '13-8.png', '16-4.png', '13-4.png']","['15-9.png', '34-5.png', '22-8.png', '38-6.png', '37-5.png', '19-9.png', '26-5.png', '17-10.png', '27-10.png', '24-2.png', '29-7.png', '36-6.png', '31-3.png', '39-5.png', '32-1.png']","[2.5, 2.4285714285714284, 2.4444444444444446, 2.375, 2.466666666666667, 2.375, 2.3636363636363638, 2.4285714285714284, 2.4545454545454546, 2.4, 2.4166666666666665, 2.4, 2.3846153846153846, 2.4375, 2.4615384615384617]"
