Difficulty,Stimulus,Correct,Foil1,Foil2,Foil3,Label
1,"['3_1.png', '5_2.png', '3_2.png', '2_2.png', '4_2.png', '4_1.png', '3_3.png', '2_3.png', '5_3.png', '2_1.png', '4_4.png', '5_1.png', '5_4.png', '2_4.png', '3_4.png', '4_3.png']","[3, 5, 3, 2, 4, 4, 3, 2, 5, 2, 4, 5, 5, 2, 3, 4]","[2, 4, 4, 1, 5, 3, 5, 4, 3, 1, 5, 4, 3, 1, 4, 3]",,,Dots: 2 thru 5
2,"['8_2.png', '7_2.png', '8_4.png', '9_4.png', '8_3.png', '9_3.png', '8_1.png', '6_4.png', '7_3.png', '9_2.png', '7_4.png', '6_3.png', '7_1.png', '6_2.png', '9_1.png', '6_1.png']","[8, 7, 8, 9, 8, 9, 8, 6, 7, 9, 7, 6, 7, 6, 9, 6]","[9, 9, 7, 10, 7, 8, 7, 8, 5, 8, 9, 5, 9, 5, 7, 4]",,,Dots: 6 thru 9
3,"['1 + 2', '4 - 3', '1 + 4', '2 - 1', '4 - 2', '3 + 1', '4 + 4', '4 - 1', '4 + 3', '3 - 1', '4 + 2', '3 - 2']","['3', '1', '5', '1', '2', '4', '8', '3', '7', '2', '6', '1']","['5', '3', '6', '2', '3', '3', '9', '2', '9', '1', '5', '2']","['7', '4', '8', '4', '5', '7', '12', '7', '11', '6', '10', '4']","['9', '6', '10', '7', '7', '9', '14', '9', '2', '7', '11', '7']",Addition/subtraction range 1-4
4,"['7 + 3', '8 + 4', '9 - 4', '6 - 5', '6 - 2', '5 + 6', '7 + 1', '8 + 7', '3 - 1', '4 - 3', '9 - 3', '2 + 3', '8 + 8', '4 + 2', '5 - 4', '7 - 3']","['10', '12', '5', '1', '4', '11', '8', '15', '2', '1', '6', '5', '16', '6', '1', '4']","['11', '11', '3', '2', '5', '12', '9', '14', '1', '2', '8', '7', '14', '8', '2', '6']","['14', '9', '9', '5', '7', '8', '4', '18', '6', '5', '3', '8', '13', '3', '5', '8']","['4', '7', '10', '6', '9', '17', '14', '21', '8', '6', '12', '10', '11', '1', '7', '10']",Addition/subtraction range 1-9
5,"['17 - 2', '5 + 12', '13 + 6', '16 - 6', '3 + 13', '16 - 1', '11 + 3', '19 - 6', '4 + 11', '15 + 3', '18 - 5', '18 - 6', '18 - 4', '13 + 4', '1 + 12', '17 - 6']","['15', '17', '19', '10', '16', '15', '14', '13', '15', '18', '13', '12', '14', '17', '13', '11']","['14', '19', '17', '12', '15', '5', '15', '15', '13', '17', '11', '13', '16', '18', '15', '21']","['13', '20', '23', '7', '19', '17', '11', '14', '12', '21', '12', '11', '13', '21', '10', '10']","['23', '11', '14', '4', '21', '7', '8', '4', '10', '12', '22', '21', '23', '12', '18', '20']","Addition/subtraction two-digit and one-digit, no carrying"
6,"['7 x 1', '1 x 6', '1 x 1', '1 x 8', '2 x 1', '9 x 1', '5 x 1', '4 x 1', '10 x 1', '3 x 1']","['7', '6', '1', '8', '2', '9', '5', '4', '10', '3']","['6', '7', '2', '7', '4', '10', '3', '5', '20', '5']","['11', '3', '4', '12', '5', '12', '9', '7', '30', '7']","['2', '12', '7', '13', '8', '15', '10', '10', '40', '9']",Multiplication by 1s up to 10
7,"['12 + 9', '11 + 9', '12 - 5', '11 - 7', '13 - 6', '19 + 9', '13 - 7', '18 + 5', '8 + 12', '16 - 7', '17 - 9', '17 + 9', '7 + 13', '14 - 9', '19 + 5', '14 - 5']","['21', '20', '7', '4', '7', '28', '6', '23', '20', '9', '8', '26', '20', '5', '24', '9']","['19', '21', '6', '5', '6', '38', '8', '13', '19', '11', '7', '16', '21', '4', '34', '10']","['24', '16', '10', '1', '11', '25', '3', '21', '16', '13', '5', '23', '17', '8', '22', '12']","['27', '25', '2', '9', '12', '35', '1', '11', '15', '15', '14', '13', '15', '11', '12', '4']","Addition/subtraction two-digit and one-digit, with carrying"
8,"['10 x 8', '10 x 7', '2 x 10', '10 x 10', '10 x 3', '10 x 6', '5 x 10', '10 x 1', '9 x 10', '10 x 4']","['80', '70', '20', '100', '30', '60', '50', '10', '90', '40']","['90', '80', '10', '90', '20', '70', '40', '20', '80', '50']","['60', '90', '40', '120', '10', '80', '70', '30', '70', '20']","['110', '40', '50', '70', '60', '90', '20', '40', '120', '70']",Multiplication by 10s up to 10
9,"['1 x 27', '1 x 15', '1 x 20', '1 x 28', '1 x 12', '1 x 29', '13 x 1', '1 x 19', '25 x 1', '24 x 1', '1 x 21', '1 x 17', '1 x 14', '1 x 18', '1 x 10', '23 x 1']","['27', '15', '20', '28', '12', '29', '13', '19', '25', '24', '21', '17', '14', '18', '10', '23']","['17', '14', '30', '18', '13', '19', '14', '29', '15', '34', '11', '27', '15', '28', '20', '33']","['28', '17', '21', '27', '14', '28', '11', '18', '24', '23', '22', '16', '16', '19', '30', '24']","['18', '30', '31', '37', '24', '38', '26', '28', '34', '33', '12', '6', '28', '9', '40', '14']",Multiplication by 1s up to 30
10,"['18 - 13', '76 + 20', '48 + 40', '24 - 20', '31 + 68', '76 - 41', '85 - 41', '55 + 40', '20 + 78', '69 - 59', '32 + 34', '78 - 76', '64 - 60', '54 + 24', '15 + 11', '38 - 25']","['5', '96', '88', '4', '99', '35', '44', '95', '98', '10', '66', '2', '4', '78', '26', '13']","['6', '86', '98', '5', '109', '45', '54', '105', '88', '12', '56', '1', '3', '68', '24', '23']","['8', '106', '79', '7', '89', '39', '48', '85', '108', '14', '59', '6', '7', '70', '29', '14']","['11', '116', '89', '9', '79', '49', '38', '75', '118', '15', '69', '7', '10', '80', '20', '24']","Addition/subtration 2-digit, no carrying"
