Difficulty,Stimulus,Correct,Foil1,Foil2,Foil3,Label
1,"['3_1.png', '5_2.png', '3_2.png', '2_2.png', '4_2.png', '4_1.png', '3_3.png', '2_3.png', '5_3.png', '2_1.png', '4_4.png', '5_1.png', '5_4.png', '2_4.png', '3_4.png', '4_3.png']","[3, 5, 3, 2, 4, 4, 3, 2, 5, 2, 4, 5, 5, 2, 3, 4]","[2, 4, 4, 1, 5, 3, 5, 4, 3, 1, 5, 4, 3, 1, 4, 3]",,,Dots: 2 thru 5
2,"['8_2.png', '7_2.png', '8_4.png', '9_4.png', '8_3.png', '9_3.png', '8_1.png', '6_4.png', '7_3.png', '9_2.png', '7_4.png', '6_3.png', '7_1.png', '6_2.png', '9_1.png', '6_1.png']","[8, 7, 8, 9, 8, 9, 8, 6, 7, 9, 7, 6, 7, 6, 9, 6]","[9, 9, 7, 10, 7, 8, 7, 8, 5, 8, 9, 5, 9, 5, 7, 4]",,,Dots: 6 thru 9
3,"['1 + 1', '3 + 1', '3 + 2', '1 + 2', '2 + 4', '2 + 2', '4 + 3', '3 + 3', '4 + 1', '4 + 4']","['2', '4', '5', '3', '6', '4', '7', '6', '5', '8']","['1', '5', '7', '4', '5', '3', '6', '5', '3', '6']",,,"Addition range 1-4, no carrying"
4,"['5 + 4', '1 + 5', '1 + 3', '4 + 4', '3 + 3', '1 + 7', '4 + 1', '5 + 2', '2 + 1', '5 + 3', '1 + 1', '2 + 3', '2 + 4', '2 + 6', '6 + 3', '2 + 2']","['9', '6', '4', '8', '6', '8', '5', '7', '3', '8', '2', '5', '6', '8', '9', '4']","['10', '7', '6', '6', '8', '7', '6', '9', '1', '9', '3', '4', '7', '9', '11', '2']","['13', '9', '8', '5', '2', '11', '2', '4', '7', '5', '6', '2', '9', '4', '12', '7']","['15', '12', '9', '13', '1', '14', '10', '2', '8', '3', '8', '10', '12', '13', '15', '9']","Addition range 1-9, no carrying"
5,"['16 + 3', '15 + 2', '6 + 11', '12 + 2', '5 + 11', '12 + 1', '3 + 15', '4 + 11', '13 + 3', '7 + 12', '13 + 5', '12 + 3', '2 + 16', '11 + 7', '11 + 1', '13 + 1']","['19', '17', '17', '14', '16', '13', '18', '15', '16', '19', '18', '15', '18', '18', '12', '14']","['21', '19', '16', '16', '15', '14', '17', '14', '15', '20', '20', '17', '17', '16', '11', '15']","['22', '21', '20', '11', '20', '10', '21', '19', '13', '22', '15', '12', '14', '21', '16', '11']","['14', '11', '11', '19', '22', '18', '23', '21', '11', '24', '24', '20', '13', '13', '7', '9']","Addition two-digit and one-digit, no carrying"
6,"['9 + 8', '6 + 6', '3 + 9', '3 + 7', '8 + 7', '8 + 2', '5 + 7', '6 + 4', '8 + 6', '9 + 9', '9 + 1', '5 + 5', '5 + 8', '5 + 9', '7 + 7', '9 + 6']","['17', '12', '12', '10', '15', '10', '12', '10', '14', '18', '10', '10', '13', '14', '14', '15']","['15', '10', '11', '12', '16', '9', '11', '12', '12', '16', '12', '12', '14', '15', '13', '17']","['20', '8', '8', '7', '11', '13', '15', '6', '10', '22', '6', '6', '16', '18', '10', '18']","['12', '17', '17', '5', '21', '4', '6', '15', '8', '13', '16', '4', '7', '8', '9', '21']","Addition range 1-9, with carrying"
7,"['5 + 10', '7 + 90', '5 + 50', '20 + 6', '40 + 4', '80 + 6', '80 + 7', '9 + 70', '20 + 8', '4 + 60', '50 + 9', '30 + 3', '3 + 10', '60 + 1', '30 + 4', '10 + 9']","['15', '97', '55', '26', '44', '86', '87', '79', '28', '64', '59', '33', '13', '61', '34', '19']","['17', '95', '56', '24', '46', '87', '85', '78', '30', '65', '61', '31', '14', '59', '36', '18']","['12', '94', '51', '22', '47', '83', '83', '83', '31', '61', '55', '37', '9', '58', '30', '16']","['9', '91', '50', '31', '38', '91', '92', '85', '23', '70', '54', '38', '7', '56', '40', '24']",Addition one-digit to multiples of 10
8,"['10 + 18', '10 + 62', '30 + 16', '20 + 59', '10 + 75', '50 + 30', '20 + 77', '80 + 18', '37 + 30', '21 + 60', '20 + 76', '40 + 23', '57 + 10', '45 + 40', '39 + 60', '60 + 29']","['28', '72', '46', '79', '85', '80', '97', '98', '67', '81', '96', '63', '67', '85', '99', '89']","['38', '82', '56', '89', '75', '90', '87', '108', '77', '71', '86', '73', '77', '75', '89', '99']","['25', '79', '41', '71', '94', '72', '107', '88', '60', '89', '106', '57', '60', '94', '109', '98']","['15', '69', '31', '61', '84', '62', '117', '78', '50', '99', '116', '67', '50', '84', '119', '108']",Addition one-digit to multiples of 10
9,"['8 + 17', '19 + 6', '13 + 7', '18 + 7', '16 + 5', '18 + 6', '17 + 6', '8 + 14', '2 + 19', '16 + 4', '9 + 14', '9 + 19', '3 + 17', '8 + 18', '18 + 4', '9 + 12']","['25', '25', '20', '25', '21', '24', '23', '22', '21', '20', '23', '28', '20', '26', '22', '21']","['27', '24', '19', '24', '22', '22', '24', '21', '20', '22', '21', '27', '21', '27', '20', '19']","['21', '28', '17', '22', '25', '27', '26', '26', '18', '17', '27', '31', '24', '30', '18', '25']","['20', '19', '15', '19', '27', '29', '28', '28', '15', '15', '28', '34', '15', '21', '16', '16']","Addition two-digit and one-digit, with carrying"
10,"['22 + 22', '23 + 31', '81 + 18', '77 + 12', '24 + 24', '21 + 64', '30 + 50', '67 + 21', '22 + 21', '27 + 50', '40 + 40', '32 + 55', '63 + 14', '23 + 14', '48 + 31', '35 + 11']","['44', '54', '99', '89', '48', '85', '80', '88', '43', '77', '80', '87', '77', '37', '79', '46']","['54', '44', '89', '79', '38', '95', '90', '98', '53', '87', '90', '77', '67', '47', '89', '56']","['48', '49', '109', '98', '53', '94', '72', '97', '47', '69', '88', '78', '85', '41', '71', '41']","['38', '39', '119', '108', '43', '104', '82', '107', '57', '59', '78', '68', '75', '51', '61', '51']","Addition 2-digit, no carrying"
