Natural_Order,soundA,soundB,Details,Contour,Notes_Different,root,Answer,Random_Order
601,"[0.5, 1.5, 5, 8, 9]","[0.5, 1.5, 5, 8, 9]","No Scale, 1",UUUU,0,"['G',3]",same,0.075207668
398,"[2, 4, 5.0, 3, 1]","[2, 4, 5.0, 3, 1]","No Scale, 1",DDDD,0,"['B',4]",same,0.238446723
492,"[1.0, 4, 7.0, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 0.5",DDDD,0,"['G',3]",same,0.960242486
159,"[3, 6, 1, 5, 2]","[3, 6, 0.5, 5, 1.5]","No Scale, 0.5",DUDU,2,"['G',3]",different,0.053590919
21,"[11, 8, 5, 4, 1]","[12.0, 8, 5, 4, 1]","No Scale, 1",DDDD,1,"['G',3]",different,0.946523927
127,"[2, 4, 6, 3, 1]","[2, 3.5, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.778096153
634,"[11.5, 8, 5, 4, 0.5]","[11.5, 8, 5, 4, 0.5]","No Scale, 1",DUDU,0,"['B',4]",same,0.85580871
20,"[11, 8, 5, 4, 1]","[11, 8, 5, 4, 1.5]","No Scale, 0.5",DDDD,1,"['G',3]",different,0.334704411
468,"[11, 8, 4.0, 5.0, 1]","[11, 8, 4.0, 5.0, 1]","No Scale, 1",UUDD,0,"['B',4]",same,0.133246677
547,"[1, 3.0, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 0.5",UUDD,0,"['G',3]",same,0.959039403
426,"[1, 2.5, 5, 7.5, 9]","[1, 2.5, 5, 7.5, 9]","No Scale, 0.5",UUUU,0,"['B',4]",same,0.888004603
315,"[2, 4, 6, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,2,"['B',4]",different,0.480716863
99,"[11, 8, 5, 4, 1]","[11, 8, 5.5, 4, 1.5]","No Scale, 0.5",DDDD,2,"['G',3]",different,0.651626521
566,"[13.0, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 2",UUDD,0,"['G',3]",same,0.174274222
71,"[1, 2, 5, 8, 9]","[2.0, 3.0, 5, 8, 9]","No Scale, 1",UUUU,2,"['G',3]",different,0.527466114
225,"[2, 4, 6, 3, 1]","[2, 4, 6, 3, -1.0]","No Scale, 2",UUDD,1,"['B',4]",different,0.737161946
184,"[1, 2, 5, 8, 9]","[1, 2, 5, 8.5, 9]","No Scale, 0.5",UUUU,1,"['B',4]",different,0.095631327
446,"[1, 4.0, 5, 6.0, 9]","[1, 4.0, 5, 6.0, 9]","No Scale, 2",DUDU,0,"['B',4]",same,0.794584777
55,"[3, 6, 1, 5, 2]","[3, 6, 1, 5, 1.0]","No Scale, 1",DUDU,1,"['G',3]",different,0.655870664
415,"[3, 6, 1, 5, 1.0]","[3, 6, 1, 5, 1.0]","No Scale, 2",UUDD,0,"['B',4]",same,0.777028409
592,"[3, 5.0, 1, 5, 2]","[3, 5.0, 1, 5, 2]","No Scale, 1",UUUU,0,"['B',4]",same,0.728966716
328,"[2, 4, 6, 3, 1]","[2, 4, 4.0, 5.0, 1]","No Scale, 2",UUDD,2,"['B',4]",different,0.010949994
310,"[2, 4, 6, 3, 1]","[2, 4, 6, 3.5, 0.5]","No Scale, 0.5",UUDD,2,"['B',4]",different,0.656591334
716,"[3, 8.0, 1, 5, 4.0]","[3, 8.0, 1, 5, 4.0]","No Scale, 2",DDDD,0,"['G',3]",same,0.220468555
435,"[1, 3.0, 4.0, 8, 9]","[1, 3.0, 4.0, 8, 9]","No Scale, 1",DUDU,0,"['B',4]",same,0.660578673
211,"[2, 4, 6, 3, 1]","[1.5, 4, 6, 3, 1]","No Scale, 0.5",UUDD,1,"['B',4]",different,0.414292864
402,"[2, 2.0, 6, 3, 1]","[2, 2.0, 6, 3, 1]","No Scale, 2",DDDD,0,"['B',4]",same,0.613536595
125,"[2, 4, 6, 3, 1]","[2, 4.5, 5.5, 3, 1]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.967823334
448,"[1, 2, 3.0, 10.0, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 2",UUDD,0,"['G',3]",same,0.790138057
249,"[1, 2, 5, 8, 9]","[1, 2, 5.5, 8, 9.5]","No Scale, 0.5",UUUU,2,"['B',4]",different,0.242932431
456,"[11, 7.5, 5, 4.5, 1]","[11, 7.5, 5, 4.5, 1]","No Scale, 1",DDDD,0,"['B',4]",same,0.424160841
244,"[1, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9.5]","No Scale, 0.5",UUUU,2,"['B',4]",different,0.558283669
717,"[3, 6, -1.0, 7.0, 2]","[3, 6, -1.0, 7.0, 2]","No Scale, 1",DDDD,0,"['G',3]",same,0.816038246
386,"[13.0, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 1",UUUU,0,"['B',4]",same,0.856244813
578,"[2, 4, 5.0, 3, 1]","[2, 4, 5.0, 3, 1]","No Scale, 2",DUDU,0,"['G',3]",same,0.402188607
171,"[3, 6, 1, 5, 2]","[5.0, 4.0, 1, 5, 2]","No Scale, 2",DUDU,2,"['G',3]",different,0.199871341
245,"[1, 2, 5, 8, 9]","[1, 1.5, 4.5, 8, 9]","No Scale, 0.5",UUUU,2,"['B',4]",different,0.976940089
28,"[11, 8, 5, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 2",DDDD,1,"['G',3]",different,0.41920568
564,"[11, 8, 5, 5.0, 1]","[11, 8, 5, 5.0, 1]","No Scale, 1",UUDD,0,"['B',4]",same,0.847382261
