Item_Number,Natural_Order,soundA,soundB,Details,Contour,Notes_Different,diff1,diff2,root,Answer,Random_Order
361,601,"[0.5, 1.5, 5, 8, 9]","[0.5, 1.5, 5, 8, 9]","No Scale, 1",UUUU,0,none,none,"['G', 3]",same,0.075207668
362,398,"[2, 4, 5.0, 3, 1]","[2, 4, 5.0, 3, 1]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.238446723
363,492,"[1.0, 4, 7.0, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 0.5",UUDD,0,none,none,"['G', 3]",same,0.960242486
364,159,"[3, 6, 1, 5, 2]","[3, 6, 0.5, 5, 1.5]","No Scale, 0.5",UDUD,2,three,five,"['G', 3]",different,0.053590919
365,21,"[11, 8, 5, 4, 1]","[12.0, 8, 5, 4, 1]","No Scale, 1",DDDD,1,one,none,"['G', 3]",different,0.946523927
366,127,"[2, 4, 6, 3, 1]","[2, 3.5, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,two,five,"['G', 3]",different,0.778096153
367,634,"[11.5, 8, 5, 4, 0.5]","[11.5, 8, 5, 4, 0.5]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.85580871
368,20,"[11, 8, 5, 4, 1]","[11, 8, 5, 4, 1.5]","No Scale, 0.5",DDDD,1,five,none,"['G', 3]",different,0.334704411
369,468,"[11, 8, 4.0, 5.0, 1]","[11, 8, 4.0, 5.0, 1]","No Scale, 1",DDUD,0,none,none,"['B', 4]",same,0.133246677
370,547,"[1, 3.0, 5, 8, 9]","[1, 3.0, 5, 8, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.959039403
371,426,"[1, 2.5, 5, 7.5, 9]","[1, 2.5, 5, 7.5, 9]","No Scale, 0.5",UUUU,0,none,none,"['B', 4]",same,0.888004603
372,315,"[2, 4, 6, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,2,two,three,"['B', 4]",different,0.480716863
373,99,"[11, 8, 5, 4, 1]","[11, 8, 5.5, 4, 1.5]","No Scale, 0.5",DDDD,2,three,five,"['G', 3]",different,0.651626521
374,566,"[13.0, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.174274222
375,71,"[1, 2, 5, 8, 9]","[2.0, 3.0, 5, 8, 9]","No Scale, 1",UUUU,2,one,two,"['G', 3]",different,0.527466114
376,225,"[2, 4, 6, 3, 1]","[2, 4, 6, 3, -1.0]","No Scale, 2",UUDD,1,five,none,"['B', 4]",different,0.737161946
377,184,"[1, 2, 5, 8, 9]","[1, 2, 5, 8.5, 9]","No Scale, 0.5",UUUU,1,four,none,"['B', 4]",different,0.095631327
378,446,"[1, 4.0, 5, 6.0, 9]","[1, 4.0, 5, 6.0, 9]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.794584777
379,55,"[3, 6, 1, 5, 2]","[3, 6, 1, 5, 1.0]","No Scale, 1",UDUD,1,five,none,"['G', 3]",different,0.655870664
380,415,"[3, 6, 1, 5, 1.0]","[3, 6, 1, 5, 1.0]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.777028409
381,592,"[3, 5.0, 1, 5, 2]","[3, 5.0, 1, 5, 2]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.728966716
382,328,"[2, 4, 6, 3, 1]","[2, 4, 4.0, 5.0, 1]","No Scale, 2",UUDD,2,three,four,"['B', 4]",different,0.010949994
383,310,"[2, 4, 6, 3, 1]","[2, 4, 6, 3.5, 0.5]","No Scale, 0.5",UUDD,2,four,five,"['B', 4]",different,0.656591334
384,716,"[3, 8.0, 1, 5, 4.0]","[3, 8.0, 1, 5, 4.0]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.220468555
385,435,"[1, 3.0, 4.0, 8, 9]","[1, 3.0, 4.0, 8, 9]","No Scale, 1",UUUU,0,none,none,"['B', 4]",same,0.660578673
386,211,"[2, 4, 6, 3, 1]","[1.5, 4, 6, 3, 1]","No Scale, 0.5",UUDD,1,one,none,"['B', 4]",different,0.414292864
387,402,"[2, 2.0, 6, 3, 1]","[2, 2.0, 6, 3, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.613536595
388,125,"[2, 4, 6, 3, 1]","[2, 4.5, 5.5, 3, 1]","No Scale, 0.5",UUDD,2,two,three,"['G', 3]",different,0.967823334
389,448,"[1, 2, 3.0, 10.0, 9]","[1, 2, 3.0, 10.0, 9]","No Scale, 2",UUUD,0,none,none,"['G', 3]",same,0.790138057
390,249,"[1, 2, 5, 8, 9]","[1, 2, 5.5, 8, 9.5]","No Scale, 0.5",UUUU,2,three,five,"['B', 4]",different,0.242932431
391,456,"[11, 7.5, 5, 4.5, 1]","[11, 7.5, 5, 4.5, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.424160841
392,244,"[1, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9.5]","No Scale, 0.5",UUUU,2,one,five,"['B', 4]",different,0.558283669
393,717,"[3, 6, -1.0, 7.0, 2]","[3, 6, -1.0, 7.0, 2]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.816038246
394,386,"[13.0, 8, 5, 4, 1]","[13.0, 8, 5, 4, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.856244813
395,578,"[2, 4, 5.0, 3, 1]","[2, 4, 5.0, 3, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.402188607
396,171,"[3, 6, 1, 5, 2]","[5.0, 4.0, 1, 5, 2]","No Scale, 2",UDUD,2,one,two,"['G', 3]",different,0.199871341
397,245,"[1, 2, 5, 8, 9]","[1, 1.5, 4.5, 8, 9]","No Scale, 0.5",UUUU,2,two,three,"['B', 4]",different,0.976940089
398,28,"[11, 8, 5, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 2",DDDD,1,three,none,"['G', 3]",different,0.41920568
399,564,"[11, 8, 5, 5.0, 1]","[11, 8, 5, 5.0, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.847382261
400,117,"[11, 8, 5, 4, 1]","[11, 10.0, 5, 4, 3.0]","No Scale, 2",DDDD,2,two,five,"['G', 3]",different,0.759181501
401,556,"[11.5, 8, 5, 4, 1]","[11.5, 8, 5, 4, 1]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.456573152
402,237,"[3, 6, 1, 5, 2]","[3, 4.0, 1, 5, 2]","No Scale, 2",UDUD,1,two,none,"['B', 4]",different,0.447381924
403,397,"[2, 5.0, 6, 3, 1]","[2, 5.0, 6, 3, 1]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.473455337
404,616,"[1, 3.0, 5, 7.0, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.81747827
405,489,"[2, 4, 6.5, 3, 1.5]","[2, 4, 6.5, 3, 1.5]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.151501704
406,9,"[1, 2, 5, 8, 9]","[1, 2, 5, 9.0, 9]","No Scale, 1",UUUU,1,four,none,"['G', 3]",different,0.263175286
407,555,"[1, 2, 5, 8, 11.0]","[1, 2, 5, 8, 11.0]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.348256027
408,584,"[2, 4, 6, 5.0, 1]","[2, 4, 6, 5.0, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.391513488
409,561,"[12.0, 8, 5, 4, 1]","[12.0, 8, 5, 4, 1]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.442350217
410,83,"[1, 2, 5, 8, 9]","[3.0, 2, 5, 10.0, 9]","No Scale, 2",UUUU,2,one,four,"['G', 3]",different,0.390123437
411,121,"[2, 4, 6, 3, 1]","[2.5, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,2,one,two,"['G', 3]",different,0.788785585
412,110,"[11, 8, 5, 4, 1]","[11, 8, 5, 3.0, 2.0]","No Scale, 1",DDDD,2,four,five,"['G', 3]",different,0.289320874
413,620,"[1, 2, 5, 7.0, 10.0]","[1, 2, 5, 7.0, 10.0]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.214195551
414,183,"[1, 2, 5, 8, 9]","[1, 2, 4.5, 8, 9]","No Scale, 0.5",UUUU,1,three,none,"['B', 4]",different,0.913754918
415,678,"[2, 4, 7.0, 4.0, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.176067261
416,432,"[0.0, 2, 6.0, 8, 9]","[0.0, 2, 6.0, 8, 9]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.30511593
417,69,"[1, 2, 5, 8, 9]","[1, 2, 5.5, 8, 9.5]","No Scale, 0.5",UUUU,2,three,five,"['G', 3]",different,0.970762621
418,562,"[11, 7.0, 5, 4, 1]","[11, 7.0, 5, 4, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.618292239
419,79,"[1, 2, 5, 8, 9]","[1, 2, 6.0, 8, 10.0]","No Scale, 1",UUUU,2,three,five,"['G', 3]",different,0.847007422
420,617,"[1, 1.0, 5, 8, 8.0]","[1, 1.0, 5, 8, 8.0]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.210066495
421,689,"[2, 4, 8.0, 3, 3.0]","[2, 4, 8.0, 3, 3.0]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.119390974
422,423,"[0.5, 2, 5, 7.5, 9]","[0.5, 2, 5, 7.5, 9]","No Scale, 1",UUUU,0,none,none,"['G', 3]",same,0.297885454
423,622,"[3.0, 2, 3.0, 8, 9]","[3.0, 2, 3.0, 8, 9]","No Scale, 1",DUUU,0,none,none,"['G', 3]",same,0.18649547
424,37,"[2, 4, 6, 3, 1]","[2, 5.0, 6, 3, 1]","No Scale, 1",UUDD,1,two,none,"['G', 3]",different,0.17708627
425,515,"[3, 5.5, 1.5, 5, 2]","[3, 5.5, 1.5, 5, 2]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.182751918
426,498,"[2, 4, 7.0, 4.0, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.998113364
427,319,"[2, 4, 6, 3, 1]","[2, 4, 5.0, 3, 2.0]","No Scale, 1",UUDD,2,three,five,"['B', 4]",different,0.026812623
428,683,"[0.0, 4, 6, 5.0, 1]","[0.0, 4, 6, 5.0, 1]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.992890427
429,180,"[3, 6, 1, 5, 2]","[3, 6, 1, 7.0, 4.0]","No Scale, 2",UDUD,2,four,five,"['G', 3]",different,0.84023746
430,203,"[11, 8, 5, 4, 1]","[11, 8, 6.0, 4, 1]","No Scale, 1",DDDD,1,three,none,"['B', 4]",different,0.11892189
431,480,"[11, 8, 5, 2.0, 3.0]","[11, 8, 5, 2.0, 3.0]","No Scale, 0.5",DDDU,0,none,none,"['B', 4]",same,0.246562094
432,359,"[3, 6, 1, 5, 2]","[3, 6, 1, 7.0, 4.0]","No Scale, 2",UDUD,2,four,five,"['B', 4]",different,0.255292511
433,289,"[11, 8, 5, 4, 1]","[11, 8, 4.0, 4, 0.0]","No Scale, 1",DDDD,2,three,five,"['B', 4]",different,0.017485928
434,475,"[11, 10.0, 7.0, 4, 1]","[11, 10.0, 7.0, 4, 1]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.888660924
435,695,"[3, 5.5, 1.5, 5, 2]","[3, 5.5, 1.5, 5, 2]","No Scale, 0.5",UDUD,0,none,none,"['B', 4]",same,0.45919017
436,520,"[3, 6, 1, 5.5, 2.5]","[3, 6, 1, 5.5, 2.5]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.357312918
437,124,"[2, 4, 6, 3, 1]","[2.5, 4, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,one,five,"['G', 3]",different,0.713585364
438,132,"[2, 4, 6, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 1",UUDD,2,one,three,"['G', 3]",different,0.93484794
439,644,"[12.0, 8, 5, 4, 0.0]","[12.0, 8, 5, 4, 0.0]","No Scale, 0.5",DDDD,0,none,none,"['G', 3]",same,0.45134184
440,705,"[3, 5.0, 0.0, 5, 2]","[3, 5.0, 0.0, 5, 2]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.921011018
441,194,"[1, 2, 5, 8, 9]","[1, 2, 5, 10.0, 9]","No Scale, 2",UUUU,1,four,none,"['B', 4]",different,0.471578125
442,414,"[3, 6, 1, 4.0, 2]","[3, 6, 1, 4.0, 2]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.250869506
443,510,"[2, 4, 6, 1.0, 3.0]","[2, 4, 6, 1.0, 3.0]","No Scale, 1",UUDU,0,none,none,"['B', 4]",same,0.817941539
444,12,"[1, 2, 5, 8, 9]","[1, 0.0, 5, 8, 9]","No Scale, 2",UUUU,1,two,none,"['G', 3]",different,0.137939773
445,94,"[11, 8, 5, 4, 1]","[11.5, 8, 5, 4, 0.5]","No Scale, 0.5",DDDD,2,one,five,"['G', 3]",different,0.045694616
446,594,"[3, 6, 1, 4.0, 2]","[3, 6, 1, 4.0, 2]","No Scale, 1",UDUD,0,none,none,"['B', 4]",same,0.243107195
447,165,"[3, 6, 1, 5, 2]","[3, 5.0, 0.0, 5, 2]","No Scale, 1",UDUD,2,two,three,"['G', 3]",different,0.015361699
448,131,"[2, 4, 6, 3, 1]","[1.0, 3.0, 6, 3, 1]","No Scale, 1",UUDD,2,one,two,"['G', 3]",different,0.616420269
449,205,"[11, 8, 5, 4, 1]","[11, 8, 5, 4, 0.0]","No Scale, 1",DDDD,1,five,none,"['B', 4]",different,0.951491202
450,455,"[11, 8.5, 4.5, 4, 1]","[11, 8.5, 4.5, 4, 1]","No Scale, 2",DDDD,0,none,none,"['B', 4]",same,0.908562473
451,467,"[11, 7.0, 5, 4, 0.0]","[11, 7.0, 5, 4, 0.0]","No Scale, 0.5",DDDD,0,none,none,"['B', 4]",same,0.404963861
452,618,"[1, 2, 6.0, 7.0, 9]","[1, 2, 6.0, 7.0, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.68755544
453,325,"[2, 4, 6, 3, 1]","[2, 6.0, 8.0, 3, 1]","No Scale, 2",UUDD,2,two,three,"['B', 4]",different,0.834531193
454,444,"[-1.0, 2, 5, 8, 11.0]","[-1.0, 2, 5, 8, 11.0]","No Scale, 0.5",UUUU,0,none,none,"['B', 4]",same,0.241082643
455,675,"[2, 5.0, 7.0, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.258392983
456,508,"[2, 4, 4.0, 5.0, 1]","[2, 4, 4.0, 5.0, 1]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.095102757
457,126,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3.5, 1]","No Scale, 0.5",UUDD,2,two,four,"['G', 3]",different,0.772351661
458,646,"[11, 7.0, 5, 5.0, 1]","[11, 7.0, 5, 5.0, 1]","No Scale, 0.5",DDDD,0,none,none,"['B', 4]",same,0.75060131
459,98,"[11, 8, 5, 4, 1]","[11, 8, 4.5, 4.5, 1]","No Scale, 0.5",DDDD,2,three,four,"['G', 3]",different,0.019310896
460,497,"[2, 3.0, 6, 3, 0.0]","[2, 3.0, 6, 3, 0.0]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.611396011
461,57,"[3, 6, 1, 5, 2]","[3, 4.0, 1, 5, 2]","No Scale, 2",UDUD,1,two,none,"['G', 3]",different,0.980624566
462,559,"[11, 8, 5, 4.5, 1]","[11, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,0,none,none,"['B', 4]",same,0.5576734
463,605,"[1, 1.5, 4.5, 8, 9]","[1, 1.5, 4.5, 8, 9]","No Scale, 0.5",UUUU,0,none,none,"['G', 3]",same,0.811281693
464,43,"[2, 4, 6, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 2",UUDD,1,three,none,"['G', 3]",different,0.024002806
465,586,"[2.5, 6, 1, 5, 2]","[2.5, 6, 1, 5, 2]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.390847818
466,379,"[11, 8, 5, 4.5, 1]","[11, 8, 5, 4.5, 1]","No Scale, 2",DDDD,0,none,none,"['B', 4]",same,0.758588706
467,645,"[11, 7.0, 6.0, 4, 1]","[11, 7.0, 6.0, 4, 1]","No Scale, 0.5",DDDD,0,none,none,"['B', 4]",same,0.770372753
468,87,"[1, 2, 5, 8, 9]","[1, 4.0, 5, 8, 7.0]","No Scale, 2",UUUU,2,two,five,"['G', 3]",different,0.65682432
469,654,"[9.0, 8, 5, 4, -1.0]","[9.0, 8, 5, 4, -1.0]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.838160147
470,273,"[11, 8, 5, 4, 1]","[10.5, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,2,one,four,"['B', 4]",different,0.729696814
471,122,"[2, 4, 6, 3, 1]","[1.5, 4, 6.5, 3, 1]","No Scale, 0.5",UUDD,2,one,three,"['G', 3]",different,0.020017739
472,410,"[3, 6, 1, 5, 2.5]","[3, 6, 1, 5, 2.5]","No Scale, 2",UDUD,0,none,none,"['B', 4]",same,0.584872637
473,391,"[1.5, 4, 6, 3, 1]","[1.5, 4, 6, 3, 1]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.264609519
474,452,"[10.5, 8, 5.5, 4, 1]","[10.5, 8, 5.5, 4, 1]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.424025046
475,147,"[2, 4, 6, 3, 1]","[2, 6.0, 6, 3, -1.0]","No Scale, 2",UUDD,2,two,five,"['G', 3]",different,0.474699995
476,429,"[1, 2, 5.5, 8, 9.5]","[1, 2, 5.5, 8, 9.5]","No Scale, 0.5",UUUU,0,none,none,"['B', 4]",same,0.120697228
477,356,"[3, 6, 1, 5, 2]","[3, 8.0, 1, 5, 4.0]","No Scale, 2",UDUD,2,two,five,"['B', 4]",different,0.789769105
478,395,"[2, 4, 6, 3, 0.5]","[2, 4, 6, 3, 0.5]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.378835666
479,93,"[11, 8, 5, 4, 1]","[10.5, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,2,one,four,"['G', 3]",different,0.098024569
480,580,"[2, 4, 6, 3, 0.0]","[2, 4, 6, 3, 0.0]","No Scale, 0.5",UUDD,0,none,none,"['G', 3]",same,0.499133117
481,506,"[2, 2.0, 6, 1.0, 1]","[2, 2.0, 6, 1.0, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.252891227
482,501,"[0.0, 2.0, 6, 3, 1]","[0.0, 2.0, 6, 3, 1]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.089760203
483,85,"[1, 2, 5, 8, 9]","[1, 0.0, 3.0, 8, 9]","No Scale, 2",UUUU,2,two,three,"['G', 3]",different,0.690012468
484,91,"[11, 8, 5, 4, 1]","[10.5, 8.5, 5, 4, 1]","No Scale, 0.5",DDDD,2,one,two,"['G', 3]",different,0.165588236
485,366,"[0.0, 2, 5, 8, 9]","[0.0, 2, 5, 8, 9]","No Scale, 2",UUUU,0,none,none,"['B', 4]",same,0.937013019
486,223,"[2, 4, 6, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 2",UUDD,1,three,none,"['B', 4]",different,0.731353063
487,123,"[2, 4, 6, 3, 1]","[2.5, 4, 6, 3.5, 1]","No Scale, 0.5",UUDD,2,one,four,"['G', 3]",different,0.759821307
488,51,"[3, 6, 1, 5, 2]","[2.0, 6, 1, 5, 2]","No Scale, 1",UDUD,1,one,none,"['G', 3]",different,0.017825312
489,522,"[2.0, 6, 2.0, 5, 2]","[2.0, 6, 2.0, 5, 2]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.18731798
490,604,"[1.5, 2, 5, 8, 9.5]","[1.5, 2, 5, 8, 9.5]","No Scale, 0.5",UUUU,0,none,none,"['B', 4]",same,0.096993374
491,353,"[3, 6, 1, 5, 2]","[5.0, 6, 1, 3.0, 2]","No Scale, 2",UDUD,2,one,four,"['B', 4]",different,0.372661621
492,488,"[2, 4, 6.5, 3.5, 1]","[2, 4, 6.5, 3.5, 1]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.239513137
493,403,"[2, 4, 8.0, 3, 1]","[2, 4, 8.0, 3, 1]","No Scale, 0.5",UUDD,0,none,none,"['G', 3]",same,0.815526597
494,138,"[2, 4, 6, 3, 1]","[2, 4, 7.0, 4.0, 1]","No Scale, 1",UUDD,2,three,four,"['G', 3]",different,0.935767857
495,80,"[1, 2, 5, 8, 9]","[1, 2, 5, 7.0, 10.0]","No Scale, 1",UUUU,2,four,five,"['G', 3]",different,0.437312524
